type,date,latitude,longitude,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,source_month,year,month,time,has_location
Person search,2024-07-19 19:45:00+00:00,54.285646,-0.405385,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,19,True
Person search,2024-07-19 19:53:00+00:00,54.285646,-0.405385,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,19,True
Person search,2024-07-20 04:28:00+00:00,53.787289,-1.0734,Female,over 34,Not Specified,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2024-07,2024,7,4,True
Person search,2024-07-20 07:33:00+00:00,54.282131,-0.407348,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-07,2024,7,7,True
Person search,2024-07-20 19:43:00+00:00,54.282609,-0.401385,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,19,True
Person search,2024-07-21 16:14:00+00:00,53.99742,-1.090901,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-07,2024,7,16,True
Person search,2024-07-22 01:39:00+00:00,53.99588,-1.503684,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,Yes,2024-07,2024,7,1,True
Person search,2024-07-22 15:24:00+00:00,53.75887,-1.093668,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,15,True
Person search,2024-07-22 19:35:00+00:00,53.999481,-1.522847,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-07,2024,7,19,True
Person search,2024-07-22 19:35:00+00:00,53.999481,-1.522847,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,19,True
Person search,2024-07-22 20:22:00+00:00,53.999481,-1.522847,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,20,True
Person search,2024-07-24 12:17:00+00:00,53.959782,-1.083212,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,12,True
Person search,2024-07-24 14:47:00+00:00,53.994253,-1.539869,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2024-07,2024,7,14,True
Person search,2024-07-24 19:08:00+00:00,53.955084,-1.077335,Male,over 34,White - Irish,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-07,2024,7,19,True
Person search,2024-07-25 06:48:00+00:00,53.962852,-1.055595,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2024-07,2024,7,6,True
